Metadata: {"arch":"arm64","binary_sha256":"15def4fd8ea90eb175440651d6fc08997dc344597a38d5d41759ea5c3657a42b","binary_size":1806448,"console_log":"println","engine":"dmdscript","repository":"https://github.com/DigitalMars/DMDScript.git","revision":"45a0ba2b11162e90de7e96876289c3020ab208f5","revision_date":"2026-03-03","version":"2.1.3"}
es3/instanceof.js: OK
es3/in.js: failed: length in array failed
es3/labelled.break.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): anonymous(41) : Error: can only break from within loop or switch
es3/labelled.continue.js: OK
es3/labelled.statements.js: OK
es3/literals.array.elisions.js: OK
es3/literals.array.js: OK
es3/literals.array.trailing-comma.js: OK
es3/literals.object.decimal.js: OK
es3/literals.object.hex.js: OK
es3/literals.object.int.js: OK
es3/literals.object.js: OK
es3/literals.object.str.js: OK
es3/literals.object.unicode.js: OK
es3/literals.regex.ambiguous.js: OK
es3/literals.regex.empty.js: failed: undead.regexp.RegExpException@/root/.dub/packages/undead/1.2.0/undead/src/undead/regexp.d(170): *+? not allowed in atom
es3/literals.regex.js: OK
es3/literals.string.esc-v.js: OK
es3/nested-functions.eval.js: OK
es3/nested-functions.js: OK
es3/regex.backref.js: OK
es3/regex.begin.js: OK
es3/regex.bracket.esc-b.js: OK
es3/regex.bracket.js: OK
es3/regex.bracket.ranges.js: failed: dash after range failed
es3/regex.class.esc-d.js: OK
es3/regex.class.esc-s.js: OK
es3/regex.class.esc-w.js: OK
es3/regex.disjunction.js: OK
es3/regex.dot.js: OK
es3/regex.end.js: OK
es3/regex.escape.control.js: OK
es3/regex.escape.hex.js: OK
es3/regex.escape.js: OK
es3/regex.escape.nul.js: OK
es3/regex.escape.unicode.js: OK
es3/regex.flag.global.js: OK
es3/regex.flag.ignorecase.js: OK
es3/regex.flag.multiline.js: failed: $ before LF failed
es3/regex.group.js: OK
es3/regex.lookahead.js: failed: undead.regexp.RegExpException@/root/.dub/packages/undead/1.2.0/undead/src/undead/regexp.d(170): *+? not allowed in atom
es3/regex.negative-lookahead.js: failed: undead.regexp.RegExpException@/root/.dub/packages/undead/1.2.0/undead/src/undead/regexp.d(170): *+? not allowed in atom
es3/regex.non-capturing-group.js: failed: undead.regexp.RegExpException@/root/.dub/packages/undead/1.2.0/undead/src/undead/regexp.d(170): *+? not allowed in atom
es3/regex.quantifier.exact.js: OK
es3/regex.quantifier.maybe.js: OK
es3/regex.quantifier.min.js: OK
es3/regex.quantifier.plus.js: OK
es3/regex.quantifier.range.js: OK
es3/regex.quantifier.star.js: OK
es3/regex.word-boundary.js: OK
es3/source.line-terminators.js: failed
es3/source.whitespace.js: OK
es3/source.whitespace.unicode.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): source.whitespace.unicode.js(9) : Error: unsupported char 0x2003
es3/strict-equals.js: OK
es3/switch.js: OK
es3/try-catch-finally.js: OK
es3/try-catch-throw.js: OK
es5/Array.isArray.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object function Array() { [native code] }.isArray is undefined and has no Call method
es5/Array.prototype.every.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object 2,4,6,8.every is undefined and has no Call method
es5/Array.prototype.filter.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object 1,2,3,4,5,6.filter is undefined and has no Call method
es5/Array.prototype.forEach.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object 1,2,3,4.forEach is undefined and has no Call method
es5/Array.prototype.indexOf.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object 1,2,3,2,1.indexOf is undefined and has no Call method
es5/Array.prototype.lastIndexOf.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object 1,2,3,2,1.lastIndexOf is undefined and has no Call method
es5/Array.prototype.map.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object 1,2,3.map is undefined and has no Call method
es5/Array.prototype.reduceRight.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object 1,2,3,4.reduceRight is undefined and has no Call method
es5/Array.prototype.reduce.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object 1,2,3,4.reduce is undefined and has no Call method
es5/Array.prototype.some.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object 1,2,3,4.some is undefined and has no Call method
es5/Array.prototype.sort.TypeError.js: failed
es5/Array.prototype.sort.undefined-comparefn.js: OK
es5/Date.now.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object function Date() { [native code] }.now is undefined and has no Call method
es5/Date.prototype.toISOString.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object Wed Jan 01 00:00:00 GMT+0000 2025.toISOString is undefined and has no Call method
es5/Date.prototype.toJSON.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Undefined undefined.call is undefined and has no Call method
es5/Function.prototype-not-enumerable.js: OK
es5/Function.prototype.apply.array-like.js: failed
es5/Function.prototype.bind.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object function getX()
es5/JSON.js: failed: typeof JSON !== 'object'
es5/JSON.parse.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Variable 'JSON' is not defined
es5/JSON.parse.reviver.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Variable 'JSON' is not defined
es5/JSON.stringify.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Variable 'JSON' is not defined
es5/JSON.stringify.replacer.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Variable 'JSON' is not defined
es5/JSON.stringify.space.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Variable 'JSON' is not defined
es5/Object.create.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object function Function() { [native code] }.create is undefined and has no Call method
es5/Object.defineProperties.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object function Function() { [native code] }.defineProperties is undefined and has no Call method
es5/Object.defineProperty.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object function Function() { [native code] }.defineProperty is undefined and has no Call method
es5/Object.freeze.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object function Function() { [native code] }.freeze is undefined and has no Call method
es5/Object.getOwnPropertyDescriptor.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object function Function() { [native code] }.getOwnPropertyDescriptor is undefined and has no Call method
es5/Object.getOwnPropertyNames.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object function Function() { [native code] }.getOwnPropertyNames is undefined and has no Call method
es5/Object.getPrototypeOf.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object function Function() { [native code] }.create is undefined and has no Call method
es5/Object.isExtensible.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object function Function() { [native code] }.isExtensible is undefined and has no Call method
es5/Object.isFrozen.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object function Function() { [native code] }.isFrozen is undefined and has no Call method
es5/Object.isSealed.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object function Function() { [native code] }.isSealed is undefined and has no Call method
es5/Object.keys.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object function Function() { [native code] }.keys is undefined and has no Call method
es5/Object.preventExtensions.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object function Function() { [native code] }.preventExtensions is undefined and has no Call method
es5/Object.property-shadowing.js: OK
es5/Object.seal.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object function Function() { [native code] }.seal is undefined and has no Call method
es5/String.indexing.js: failed: test with variable failed
es5/String.prototype.trim.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): String   hello  .trim is undefined and has no Call method
es5/arguments.toStringTag.js: failed
es5/debugger.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): debugger.js(7) : Error: found 'debugger' instead of statement
es5/global.Infinity.immutable.js: failed
es5/global.NaN.immutable.js: failed
es5/global.parseInt.no-octal.js: failed
es5/global.undefined.immutable.js: failed
es5/literals.object.getters.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): literals.object.getters.js(9) : Error: found 'x' when expecting ':'
es5/literals.object.setters.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): literals.object.setters.js(10) : Error: found 'x' when expecting ':'
es5/literals.object.trailing-comma.js: OK
es5/source.keyword-properties.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): source.keyword-properties.js(15) : Error: identifier expected
es5/source.unreserved-words.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): source.unreserved-words.js(13) : Error: identifier expected instead of 'abstract'
es5/source.whitespace.bom.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): source.whitespace.bom.js(1) : Error: unsupported char 0xfeff
es5/source.zero-width-chars.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): source.zero-width-chars.js(11) : Error: found '' when expecting ';'
es5/strict.eval-cannot-create-bindings.js: failed
es5/strict.function-expr-with-matching-name.js: OK
es5/strict.js: failed
es5/strict.no-arguments-callee.js: failed
es5/strict.no-arguments-caller.js: failed
es5/strict.no-assignment-to-non-writable.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): strict.no-assignment-to-non-writable.js(29) : Error: found 'x' when expecting ':'
es5/strict.no-assignment-to-unresolvable.js: failed
es5/strict.no-delete-bindings.js: failed
es5/strict.no-delete-non-configurable.js: failed
es5/strict.no-duplicate-parameters.js: failed
es5/strict.no-eval-or-arguments-assignment.js: failed
es5/strict.no-eval-or-arguments-bindings.js: failed
es5/strict.no-function-caller-or-arguments.js: failed
es5/strict.no-octal-literals.js: failed
es5/strict.no-with.js: failed
es5/strict.reserved-words.js: failed
es5/strict.this-primitive-not-coerced-in-accessors.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Object function Function() { [native code] }.defineProperty is undefined and has no Call method
es5/strict.this-primitive-not-coerced.js: failed: string 'this' was coerced to object
es5/strict.this-undefined-in-function.js: failed: outer 'this' is not undefined
es5/strict.unmapped-arguments.js: OK
es5/this.thrown-function.js: OK
compat-table/es5/Array.isArray.js: failed
compat-table/es5/Array.prototype.every.js: failed
compat-table/es5/Array.prototype.filter.js: failed
compat-table/es5/Array.prototype.forEach.js: failed
compat-table/es5/Array.prototype.indexOf.js: failed
compat-table/es5/Array.prototype.lastIndexOf.js: failed
compat-table/es5/Array.prototype.map.js: failed
compat-table/es5/Array.prototype.reduceRight.js: failed
compat-table/es5/Array.prototype.reduce.js: failed
compat-table/es5/Array.prototype.some.js: failed
compat-table/es5/Array.prototype.sort.compareFn-type.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Array.prototype.sort.compareFn-type.js(9) : Error: found '[' instead of statement
compat-table/es5/Array.prototype.sort.compareFn-undefined.js: OK
compat-table/es5/Array.prototype.unshift.return-count.js: OK
compat-table/es5/Date.now.js: failed
compat-table/es5/Date.prototype.toISOString.js: failed
compat-table/es5/Date.prototype.toJSON.js: failed
compat-table/es5/Function.prototype.bind.js: failed
compat-table/es5/JSON.js: failed
compat-table/es5/Number.prototype.toExponential.no-throw-edge-cases.js: OK
compat-table/es5/Number.prototype.toExponential.rounds-properly.js: failed
compat-table/es5/Number.prototype.toExponential.throws-infinity.js: OK
compat-table/es5/Object.create.js: failed
compat-table/es5/Object.defineProperties.js: failed
compat-table/es5/Object.defineProperty.js: failed
compat-table/es5/Object.freeze.js: failed
compat-table/es5/Object.getOwnPropertyDescriptor.js: failed
compat-table/es5/Object.getOwnPropertyNames.js: failed
compat-table/es5/Object.getPrototypeOf.js: failed
compat-table/es5/Object.isExtensible.js: failed
compat-table/es5/Object.isFrozen.js: failed
compat-table/es5/Object.isSealed.js: failed
compat-table/es5/Object.keys.js: failed
compat-table/es5/Object.preventExtensions.js: failed
compat-table/es5/Object.seal.js: failed
compat-table/es5/String.property-access.js: failed
compat-table/es5/String.prototype.split.js: failed: undead.regexp.RegExpException@/root/.dub/packages/undead/1.2.0/undead/src/undead/regexp.d(170): *+? not allowed in atom
compat-table/es5/String.prototype.trim.js: failed
compat-table/es5/annex-b.String.prototype.substr.js: OK
compat-table/es5/immutable-globals.Infinity.js: failed
compat-table/es5/immutable-globals.NaN.js: failed
compat-table/es5/immutable-globals.undefined.js: failed
compat-table/es5/literals.getter-accessors.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): literals.getter-accessors.js(8) : Error: found 'x' when expecting ':'
compat-table/es5/literals.reserved-words-properties.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): literals.reserved-words-properties.js(8) : Error: identifier expected
compat-table/es5/literals.setter-accessors.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): literals.setter-accessors.js(9) : Error: found 'x' when expecting ':'
compat-table/es5/literals.trailing-comma-array.js: OK
compat-table/es5/literals.trailing-comma-object.js: OK
compat-table/es5/misc.Arguments.toStringTag.js: failed
compat-table/es5/misc.Function.apply.array-likes.js: failed
compat-table/es5/misc.Function.prototype.non-enumerable.js: OK
compat-table/es5/misc.enumerable-shadow.js: OK
compat-table/es5/misc.parseInt.ignores-leading-zeros.js: failed
compat-table/es5/misc.thrown-functions-this.js: OK
compat-table/es5/misc.unreserved-words.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): misc.unreserved-words.js(8) : Error: identifier expected instead of 'abstract'
compat-table/es5/misc.zero-width-identifiers.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): misc.zero-width-identifiers.js(8) : Error: found '' when expecting ';'
compat-table/es5/strict.arguments-callee-error.js: failed
compat-table/es5/strict.arguments-caller-error.js: failed
compat-table/es5/strict.arguments-unmapped.js: OK
compat-table/es5/strict.assignment-eval-arguments-error.js: failed
compat-table/es5/strict.assignment-non-writable-error.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): strict.assignment-non-writable-error.js(12) : Error: found 'x' when expecting ':'
compat-table/es5/strict.assignment-unresolvable-error.js: failed
compat-table/es5/strict.delete-bindings-error.js: failed
compat-table/es5/strict.delete-non-configurable-error.js: failed
compat-table/es5/strict.eval-arguments-bindings-error.js: failed
compat-table/es5/strict.eval-no-bindings.js: failed
compat-table/es5/strict.function-caller-arguments-error.js: failed
compat-table/es5/strict.function-expr-matching-name-arg.js: OK
compat-table/es5/strict.legacy-octal-error.js: failed
compat-table/es5/strict.repeated-params-error.js: failed
compat-table/es5/strict.reserved-words.js: failed
compat-table/es5/strict.this-not-coerced-accessors.js: TypeError: Object function Function() { [native code] }.defineProperty is undefined and has no Call method
compat-table/es5/strict.this-not-coerced-methods.js: failed
compat-table/es5/strict.this-undefined.js: failed
compat-table/es5/strict.with-error.js: failed
compat-table/es6/Array.Symbol.species.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Array.from.array-like.js: TypeError: Object function Array() { [native code] }.from is undefined and has no Call method
compat-table/es6/Array.from.generator.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Array.from.generator.js(9) : Error: found '*' when expecting '('
compat-table/es6/Array.from.iterable-instance.js: TypeError: Object function Function() { [native code] }.create is undefined and has no Call method
compat-table/es6/Array.from.iterable.js: TypeError: Object function Array() { [native code] }.from is undefined and has no Call method
compat-table/es6/Array.from.iterator-closing.js: failed
compat-table/es6/Array.from.map.array-like.js: TypeError: Object function Array() { [native code] }.from is undefined and has no Call method
compat-table/es6/Array.from.map.generator.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Array.from.map.generator.js(9) : Error: found '*' when expecting '('
compat-table/es6/Array.from.map.iterable-instance.js: TypeError: Object function Function() { [native code] }.create is undefined and has no Call method
compat-table/es6/Array.from.map.iterable.js: TypeError: Object function Array() { [native code] }.from is undefined and has no Call method
compat-table/es6/Array.iterator-prototype-chain.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Array.of.js: failed
compat-table/es6/Array.prototype.Symbol.iterator.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Array.prototype.Symbol.unscopables.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Array.prototype.copyWithin.js: failed
compat-table/es6/Array.prototype.entries.js: failed
compat-table/es6/Array.prototype.fill.js: failed
compat-table/es6/Array.prototype.findIndex.js: failed
